mentions,,,non-mentions,,,,,,,,,,,,,,,
"NNPS : ,",2,7.38E-05,FW : JJ,1,3.90E-06,,,,,,,,,,,,,
NNPS : .,1,3.69E-05,FW : NN,21,8.18E-05,,,,,,,,,,,,,
NNPS : CC,2,7.38E-05,FW : NNP,39,0.000151912,,,,,,,,,,,,,
NNPS : IN,4,0.000147645,FW : NNS,1,3.90E-06,,,,,,,,,,,,,
NNPS : NN,1,3.69E-05,FW : NONE,2,7.79E-06,,,,,,,,,,,,,
NNPS : NNP,1,3.69E-05,FW : PRP,4,1.56E-05,,,,,,,,,,,,,
NNS : (,2,7.38E-05,FW : RB,1,3.90E-06,,,,,,,,,,,,,
"NNS : ,",24,0.00088587,FW : VB,2,7.79E-06,,,,,,,,,,,,,
NNS : .,6,0.000221468,FW : VBD,13,5.06E-05,,,,,,,,,,,,,
NNS : :,4,0.000147645,FW : VBG,4,1.56E-05,,,,,,,,,,,,,
NNS : CC,62,0.002288498,FW : VBN,2,7.79E-06,,,,,,,,,,,,,
NNS : CD,1,3.69E-05,FW : VBP,1,3.90E-06,,,,,,,,,,,,,
NNS : IN,5,0.000184556,FW : VBZ,6,2.34E-05,,,,,,,,,,,,,
NNS : JJ,1,3.69E-05,IN : $,3,1.17E-05,,,,,,,,,,,,,
NNS : NN,7,0.000258379,IN : (,31,0.000120751,,,,,,,,,,,,,
NNS : NNP,7,0.000258379,IN : ),2,7.79E-06,,,,,,,,,,,,,
NNS : POS,1,3.69E-05,"IN : ,",10,3.90E-05,,,,,,,,,,,,,
NNS : TO,3,0.000110734,IN : .,9,3.51E-05,,,,,,,,,,,,,
NNS : VBD,3,0.000110734,IN : :,13,5.06E-05,,,,,,,,,,,,,
NNS : VBP,1,3.69E-05,IN : CC,1123,0.004374296,,,,,,,,,,,,,
NNS : VBZ,2,7.38E-05,IN : CD,1487,0.005792145,,,,,,,,,,,,,
NNS : WDT,1,3.69E-05,IN : DT,874,0.003404395,,,,,,,,,,,,,
NONE : $,2,7.38E-05,IN : EX,11,4.28E-05,,,,,,,,,,,,,
"NONE : ,",12,0.000442935,IN : FW,26,0.000101275,,,,,,,,,,,,,
NONE : :,3,0.000110734,IN : IN,2295,0.008939457,,,,,,,,,,,,,
NONE : CC,15,0.000553669,IN : JJ,3391,0.013208583,,,,,,,,,,,,,
NONE : IN,10,0.000369113,IN : JJR,47,0.000183074,,,,,,,,,,,,,
NONE : MD,1,3.69E-05,IN : JJS,147,0.000572593,,,,,,,,,,,,,
